,movie_name,Produced by,Music by,Productioncompany,Running time,Country,Language,Budget(Milion),Box office(Milion),SuccessCategory
28,The Littlest Outlaw,,['William Lava'],['Walt Disney Productions'],['73 minutes'],,,NaN,2.00,Flop
29,The Great Locomotive Chase,['Walt Disney'],['Paul J. Smith'],['Walt Disney Productions'],['85 minutes'],['United States'],['English'],NaN,2.00,Flop
30,Davy Crockett and the River Pirates,['Bill Walsh'],"['George Bruns', 'Edward H. Plumb']",['Walt Disney Productions'],['81 minutes'],['United States'],['English'],NaN,NaN,Hit
31,Secrets of Life,"['Ben Sharpsteen', 'Walt Disney']",['Paul Smith'],['Walt Disney Productions'],['70 minutes'],['United States'],['English'],NaN,NaN,Hit
32,Westward Ho the Wagons!,['Bill Walsh'],['George Bruns'],['Walt Disney Productions'],['90 minutes'],['United States'],['English'],NaN,3.00,Flop
33,Johnny Tremain (film),['Walt Disney'],['George Bruns'],['Walt Disney Productions'],['80 minutes'],['United States'],['English'],700000.00,NaN,Hit
34,Perri (film),['Winston Hibler'],"['Paul J. Smith', 'George Bruns', 'Carl Brandt']",['Walt Disney Productions'],['75 minutes'],['United States'],['English'],NaN,2.00,Flop
35,Old Yeller (film),['Walt Disney'],"['Oliver Wallace', 'Will Schaefer']",['Walt Disney Productions'],['84 minutes'],['United States'],['English'],NaN,6.00,Flop
36,The Light in the Forest (film),['Walt Disney'],['Paul J. Smith'],['Walt Disney Productions'],['83 minutes'],['United States'],['English'],NaN,2.00,Flop
37,White Wilderness (film),"['Ben Sharpsteen', 'Walt Disney']",['Oliver Wallace'],['Walt Disney Productions'],['72 minutes'],,['English'],NaN,2.00,Flop
38,Tonka (film),['James C. Pratt'],['Oliver Wallace'],['Walt Disney Productions'],['97 minutes'],['United States'],['English'],NaN,3.00,Flop
39,Sleeping Beauty (1959 film),['Walt Disney'],['George Bruns'],['Walt Disney Productions'],['75 minutes'],['United States'],['English'],6.00,52.00,Flop
40,The Shaggy Dog (1959 film),['Walt Disney'],['Paul J. Smith'],['Walt Disney Productions'],['104 minutes'],['United States'],['English'],1250000.00,12.00,Flop
41,Darby O'Gill and the Little People,"['Bill Anderson', 'Walt Disney']",['Oliver Wallace'],['Walt Disney Productions'],['93 minutes'],['United States'],['English'],NaN,10.00,Flop
42,Third Man on the Mountain,"['Bill Anderson', 'Walt Disney']",['William Alwyn'],['Walt Disney Productions'],['105 minutes'],['United States'],['English'],2.00,1700000.00,Hit
